n,condition,class,precision,recall,f1,support,n_total,accuracy,macro_f1,delta_precision_vs_no_acoustic,delta_recall_vs_no_acoustic,delta_f1_vs_no_acoustic
5,A,배송확인,0.4311868686868687,0.7197049525816649,0.5392814844058429,949,9658,0.4806378132118451,0.40018991149536276,,,
5,A,교환반품,0.601312551271534,0.5544629349470499,0.5769382133018497,1322,9658,0.4806378132118451,0.40018991149536276,,,
5,A,구매진행,0.3110195674562307,0.5500910746812386,0.3973684210526316,549,9658,0.4806378132118451,0.40018991149536276,,,
5,A,서비스이용,0.3609865470852018,0.4410958904109589,0.3970406905055487,1095,9658,0.4806378132118451,0.40018991149536276,,,
5,B,환불요청,0.8166550034989503,0.4842323651452282,0.6079708257358687,4820,9658,0.5026920687512942,0.41886821956461145,0.01941825966026467,0.04128630705394193,0.03848562968358804
5,B,주문취소,0.19388576025744167,0.4762845849802372,0.2755860491709548,506,9658,0.5026920687512942,0.41886821956461145,0.01989418891487696,-0.09486166007905139,0.008857853508749014
5,B,불만제기,0.14338235294117646,0.09352517985611511,0.11320754716981132,417,9658,0.5026920687512942,0.41886821956461145,0.06125674907644216,0.05275779376498801,0.058720367682631835
5,B,배송확인,0.4879000780640125,0.6585879873551106,0.5605381165919282,949,9658,0.5026920687512942,0.41886821956461145,0.0567132093771438,-0.0611169652265543,0.02125663218608531
5,B,교환반품,0.6666666666666666,0.4341906202723147,0.5258818140174072,1322,9658,0.5026920687512942,0.41886821956461145,0.06535411539513258,-0.1202723146747352,-0.0510563992844425
5,B,구매진행,0.289544235924933,0.5901639344262295,0.38848920863309355,549,9658,0.5026920687512942,0.41886821956461145,-0.021475331531297714,0.04007285974499086,-0.00887921241953804
5,B,서비스이용,0.3547430830039526,0.6557077625570776,0.4604039756332158,1095,9658,0.5026920687512942,0.41886821956461145,-0.006243464081249206,0.2146118721461187,0.06336328512766709
5,C,환불요청,0.8323814962878355,0.6047717842323651,0.7005527517423696,4820,9658,0.5969144750465935,0.4827749086674475,,,
5,C,주문취소,0.22788605697151423,0.6007905138339921,0.33043478260869563,506,9658,0.5969144750465935,0.4827749086674475,,,
5,C,불만제기,0.1111111111111111,0.03836930455635491,0.0570409982174688,417,9658,0.5969144750465935,0.4827749086674475,,,
5,C,배송확인,0.5087131367292225,0.7997892518440464,0.6218762802130274,949,9658,0.5969144750465935,0.4827749086674475,,,
5,C,교환반품,0.6477675407512402,0.6913767019667171,0.6688620563483352,1322,9658,0.5969144750465935,0.4827749086674475,,,
5,C,구매진행,0.40828402366863903,0.6284153005464481,0.4949784791965567,549,9658,0.5969144750465935,0.4827749086674475,,,
5,C,서비스이용,0.5505376344086022,0.46757990867579907,0.505679012345679,1095,9658,0.5969144750465935,0.4827749086674475,,,
5,D,환불요청,0.835635359116022,0.6275933609958506,0.716824644549763,4820,9658,0.5943259474011182,0.4742545044769502,0.0032538628281865156,0.022821576763485507,0.016271892807393384
5,D,주문취소,0.23253588516746412,0.48023715415019763,0.31334622823984526,506,9658,0.5943259474011182,0.4742545044769502,0.00464982819594989,-0.12055335968379444,-0.017088554368850373
5,D,불만제기,0.12195121951219512,0.05995203836930456,0.08038585209003216,417,9658,0.5943259474011182,0.4742545044769502,0.010840108401084014,0.021582733812949645,0.023344853872563354
5,D,배송확인,0.5298013245033113,0.7586933614330874,0.6239168110918544,949,9658,0.5943259474011182,0.4742545044769502,0.02108818777408883,-0.04109589041095896,0.0020405308788269405
5,D,교환반품,0.7112887112887113,0.5385779122541604,0.6130004304778304,1322,9658,0.5943259474011182,0.4742545044769502,0.06352117053747108,-0.15279878971255667,-0.055861625870504805
5,D,구매진행,0.33565737051792827,0.6138433515482696,0.4339987121699936,549,9658,0.5943259474011182,0.4742545044769502,-0.07262665315071076,-0.014571948998178486,-0.0609797670265631
5,D,서비스이용,0.476123595505618,0.6191780821917808,0.538308852719333,1095,9658,0.5943259474011182,0.4742545044769502,-0.07441403890298415,0.15159817351598176,0.03262984037365402
