n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
3,A,환불요청,0.7646321070234113,0.37946058091286305,0.507210205213533,4820,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,주문취소,0.14958283671036948,0.49604743083003955,0.22985347985347984,506,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,불만제기,0.08712121212121213,0.05515587529976019,0.06754772393538913,417,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,배송확인,0.37753807106598986,0.6269757639620653,0.47128712871287126,949,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,교환반품,0.577028258887876,0.47881996974281393,0.5233567589913187,1322,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,구매진행,0.25990783410138246,0.5136612021857924,0.34516523867809057,549,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,서비스이용,0.29182630906768836,0.41735159817351597,0.34347989477639984,1095,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,B,환불요청,0.7570381797146163,0.40726141078838174,0.5296101443410225,4820,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,주문취소,0.15773067331670823,0.5,0.23981042654028437,506,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,불만제기,0.07602339181286549,0.06235011990407674,0.06851119894598155,417,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,배송확인,0.3828125,0.6195995785036881,0.4732394366197183,949,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,교환반품,0.5539000876424189,0.47806354009077157,0.5131952902963866,1322,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,구매진행,0.27657378740970073,0.48816029143898,0.3530961791831357,549,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,B,서비스이용,0.30685675492192804,0.41278538812785387,0.35202492211838005,1095,False,9658,0.43300890453510044,0.3613553711492727,0.45656446808124773,0
3,C,환불요청,0.7687861271676301,0.44149377593360994,0.5608856088560885,4820,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,주문취소,0.16427640156453716,0.4980237154150198,0.24705882352941178,506,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
