section,n,condition,pair,metric,v_base,v3_orig,delta,class
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,0.007643179228781882,0.011315672913879748,0.0036724936850978662,배송확인
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,0.013615733736762448,-0.13010590015128592,-0.14372163388804837,교환반품
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,-0.019187641921295073,0.034377576655890585,0.05356521857718566,교환반품
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,-0.0002551117434279604,-0.07923344492580814,-0.07897833318238018,교환반품
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,-0.029143897996357027,-0.020036429872495487,0.00910746812386154,구매진행
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,0.01688717110153115,-0.009214032066229838,-0.02610120316776099,구매진행
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,0.00715264211661143,-0.012649901254777662,-0.019802543371389092,구매진행
음향델타_기타클래스,3,,customer_only,acoustic_delta_recall,-0.010045662100456598,0.2410958904109589,0.2511415525114155,서비스이용
음향델타_기타클래스,3,,customer_only,acoustic_delta_precision,0.01575989782886339,-0.002151740968049931,-0.01791163879691332,서비스이용
음향델타_기타클래스,3,,customer_only,acoustic_delta_f1,0.007011264359160108,0.05886385522360016,0.05185259086444005,서비스이용
음향델타_기타클래스,3,,all,acoustic_delta_recall,0.027178423236514537,0.032365145228215764,0.005186721991701226,환불요청
음향델타_기타클래스,3,,all,acoustic_delta_precision,-0.002243880815407495,0.0204329467784653,0.022676827593872795,환불요청
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.02080616402919533,0.03128447151725866,0.010478307488063332,환불요청
음향델타_기타클래스,3,,all,acoustic_delta_recall,-0.005928853754940733,-0.09090909090909094,-0.0849802371541502,주문취소
음향델타_기타클래스,3,,all,acoustic_delta_precision,0.007447736366497315,0.017061626604476937,0.009613890237979622,주문취소
음향델타_기타클래스,3,,all,acoustic_delta_f1,0.007542403464453229,0.0038546965680303913,-0.0036877068964228377,주문취소
음향델타_불만제기,3,,all,acoustic_delta_recall,0.0023980815347721812,0.014388489208633094,0.011990407673860913,불만제기
